"tick","Search","Agents"
319.0,1.0,85
320.0,1.0,82
321.0,1.0,82
322.0,1.0,79
323.0,1.0,79
324.0,1.0,79
325.0,1.0,79
326.0,1.0,77
327.0,1.0,77
328.0,1.0,76
329.0,1.0,76
330.0,1.0,79
331.0,1.0,79
332.0,1.0,69
333.0,1.0,69
334.0,1.0,76
335.0,1.0,76
336.0,1.0,75
337.0,1.0,75
338.0,1.0,75
339.0,1.0,75
340.0,1.0,80
341.0,1.0,80
342.0,1.0,78
343.0,1.0,78
344.0,1.0,74
345.0,1.0,74
346.0,1.0,67
347.0,1.0,67
348.0,1.0,72
349.0,1.0,72
350.0,1.0,75
351.0,1.0,75
352.0,1.0,74
353.0,1.0,74
354.0,1.0,77
355.0,1.0,77
356.0,1.0,78
357.0,1.0,78
358.0,1.0,73
359.0,1.0,73
360.0,1.0,82
361.0,1.0,82
362.0,1.0,80
363.0,1.0,80
364.0,1.0,72
365.0,1.0,72
366.0,1.0,75
367.0,1.0,75
368.0,1.0,79
369.0,1.0,79
370.0,1.0,78
371.0,1.0,78
372.0,1.0,80
373.0,1.0,80
374.0,1.0,73
375.0,1.0,73
376.0,1.0,82
377.0,1.0,82
378.0,1.0,86
379.0,1.0,86
380.0,1.0,79
381.0,1.0,79
382.0,1.0,82
383.0,1.0,82
384.0,1.0,83
385.0,1.0,83
386.0,1.0,79
387.0,1.0,79
388.0,1.0,83
389.0,1.0,83
390.0,1.0,75
391.0,1.0,75
392.0,1.0,73
393.0,1.0,73
394.0,1.0,76
395.0,1.0,76
396.0,1.0,80
397.0,1.0,80
398.0,1.0,69
399.0,1.0,69
400.0,1.0,74
401.0,1.0,74
402.0,1.0,70
403.0,1.0,70
404.0,1.0,72
405.0,1.0,72
406.0,1.0,78
407.0,1.0,78
408.0,1.0,78
409.0,1.0,78
410.0,1.0,74
411.0,1.0,74
412.0,1.0,78
413.0,1.0,78
414.0,1.0,74
415.0,1.0,74
416.0,1.0,76
417.0,1.0,76
418.0,1.0,75
419.0,1.0,75
420.0,1.0,72
421.0,1.0,72
422.0,1.0,67
423.0,1.0,67
424.0,1.0,72
425.0,1.0,72
426.0,1.0,71
427.0,1.0,71
428.0,1.0,67
429.0,1.0,67
430.0,1.0,72
431.0,1.0,72
432.0,1.0,76
433.0,1.0,76
434.0,1.0,73
435.0,1.0,73
436.0,1.0,74
437.0,1.0,74
438.0,1.0,72
439.0,1.0,72
440.0,1.0,80
441.0,1.0,80
442.0,1.0,76
443.0,1.0,76
444.0,1.0,77
445.0,1.0,77
446.0,1.0,77
447.0,1.0,77
448.0,1.0,69
449.0,1.0,69
450.0,1.0,68
451.0,1.0,68
452.0,1.0,76
453.0,1.0,76
454.0,1.0,79
455.0,1.0,79
456.0,1.0,74
457.0,1.0,74
458.0,1.0,79
459.0,1.0,79
460.0,1.0,78
461.0,1.0,78
462.0,1.0,74
463.0,1.0,74
464.0,1.0,75
465.0,1.0,75
466.0,1.0,70
467.0,1.0,70
468.0,1.0,74
469.0,1.0,74
470.0,1.0,72
471.0,1.0,72
472.0,1.0,73
473.0,1.0,73
474.0,1.0,76
475.0,1.0,76
476.0,1.0,69
477.0,1.0,69
478.0,1.0,71
479.0,1.0,71
480.0,1.0,76
481.0,1.0,76
482.0,1.0,74
483.0,1.0,74
484.0,1.0,69
485.0,1.0,69
486.0,1.0,69
487.0,1.0,69
488.0,1.0,74
489.0,1.0,74
490.0,1.0,66
491.0,1.0,66
492.0,1.0,71
493.0,1.0,71
494.0,1.0,69
495.0,1.0,69
496.0,1.0,71
497.0,1.0,71
498.0,1.0,71
499.0,1.0,71
500.0,1.0,79
501.0,1.0,79
502.0,1.0,74
503.0,1.0,74
504.0,1.0,76
505.0,1.0,76
506.0,1.0,77
507.0,1.0,77
508.0,1.0,77
509.0,1.0,77
510.0,1.0,75
511.0,1.0,75
512.0,1.0,69
513.0,1.0,69
514.0,1.0,67
515.0,1.0,67
516.0,1.0,71
517.0,1.0,71
518.0,1.0,62
519.0,1.0,62
520.0,1.0,70
521.0,1.0,70
522.0,1.0,74
523.0,1.0,74
524.0,1.0,68
525.0,1.0,68
526.0,1.0,78
527.0,1.0,78
528.0,1.0,76
529.0,1.0,76
530.0,1.0,78
531.0,1.0,78
532.0,1.0,71
533.0,1.0,71
534.0,1.0,80
535.0,1.0,80
536.0,1.0,75
537.0,1.0,75
538.0,1.0,70
539.0,1.0,70
540.0,1.0,77
541.0,1.0,77
542.0,1.0,79
543.0,1.0,79
544.0,1.0,78
545.0,1.0,78
546.0,1.0,78
547.0,1.0,78
548.0,1.0,73
549.0,1.0,73
550.0,1.0,70
551.0,1.0,70
552.0,1.0,76
553.0,1.0,76
554.0,1.0,79
555.0,1.0,79
556.0,1.0,72
557.0,1.0,72
558.0,1.0,77
559.0,1.0,77
560.0,1.0,82
561.0,1.0,82
562.0,1.0,78
563.0,1.0,78
564.0,1.0,82
565.0,1.0,82
566.0,1.0,76
567.0,1.0,76
568.0,1.0,71
569.0,1.0,71
570.0,1.0,72
571.0,1.0,72
572.0,1.0,76
573.0,1.0,76
574.0,1.0,83
575.0,1.0,83
576.0,1.0,87
577.0,1.0,87
578.0,1.0,72
579.0,1.0,72
580.0,1.0,73
581.0,1.0,73
582.0,1.0,73
583.0,1.0,73
584.0,1.0,81
585.0,1.0,81
586.0,1.0,83
587.0,1.0,83
588.0,1.0,79
589.0,1.0,79
590.0,1.0,76
591.0,1.0,76
592.0,1.0,83
593.0,1.0,83
594.0,1.0,81
595.0,1.0,81
596.0,1.0,79
597.0,1.0,79
598.0,1.0,73
599.0,1.0,73
600.0,1.0,80
601.0,1.0,80
602.0,1.0,74
603.0,1.0,74
604.0,1.0,77
605.0,1.0,77
606.0,1.0,70
607.0,1.0,70
608.0,1.0,75
609.0,1.0,75
610.0,1.0,83
611.0,1.0,83
612.0,1.0,81
613.0,1.0,81
614.0,1.0,78
615.0,1.0,78
616.0,1.0,84
617.0,1.0,84
618.0,1.0,79
619.0,1.0,79
620.0,1.0,79
621.0,1.0,79
622.0,1.0,76
623.0,1.0,76
624.0,1.0,74
625.0,1.0,74
626.0,1.0,74
627.0,1.0,74
628.0,1.0,76
629.0,1.0,76
630.0,1.0,73
631.0,1.0,73
632.0,1.0,75
633.0,1.0,75
634.0,1.0,74
635.0,1.0,74
636.0,1.0,70
637.0,1.0,70
638.0,1.0,69
639.0,1.0,69
640.0,1.0,71
641.0,1.0,71
642.0,1.0,73
643.0,1.0,73
644.0,1.0,74
645.0,1.0,74
646.0,1.0,78
647.0,1.0,78
648.0,1.0,78
649.0,1.0,78
650.0,1.0,73
651.0,1.0,73
652.0,1.0,72
653.0,1.0,72
654.0,1.0,81
655.0,1.0,81
656.0,1.0,74
657.0,1.0,74
658.0,1.0,68
659.0,1.0,68
660.0,1.0,73
661.0,1.0,73
662.0,1.0,72
663.0,1.0,72
664.0,1.0,76
665.0,1.0,76
666.0,1.0,77
667.0,1.0,77
668.0,1.0,73
669.0,1.0,73
670.0,1.0,78
671.0,1.0,78
672.0,1.0,83
673.0,1.0,83
674.0,1.0,79
675.0,1.0,79
676.0,1.0,82
677.0,1.0,82
678.0,1.0,77
679.0,1.0,77
680.0,1.0,79
681.0,1.0,79
682.0,1.0,77
683.0,1.0,77
684.0,1.0,80
685.0,1.0,80
686.0,1.0,80
687.0,1.0,80
688.0,1.0,78
689.0,1.0,78
690.0,1.0,76
691.0,1.0,76
692.0,1.0,73
693.0,1.0,73
694.0,1.0,77
695.0,1.0,77
696.0,1.0,77
697.0,1.0,77
698.0,1.0,69
699.0,1.0,69
700.0,1.0,70
701.0,1.0,70
702.0,1.0,76
