"run","nSteps","randomSeed","maxEnergy","xDim","maxResource","decisionType","resourceGrowthRate","memory","numberOfAgents","energyCost","searchRadius","yDim"
73,1000.0,-2046773900,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
74,1000.0,-2046772953,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
75,1000.0,-2046771950,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
76,1000.0,-2046771035,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
77,1000.0,-2046770011,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
78,1000.0,-2046769124,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
79,1000.0,-2046768100,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
80,1000.0,-2046767413,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
81,1000.0,-2046766533,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
82,1000.0,-2046765680,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
83,1000.0,-2046764761,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
84,1000.0,-2046763625,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
85,1000.0,-2046762698,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
86,1000.0,-2046761753,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
87,1000.0,-2046760968,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
88,1000.0,-2046759874,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
89,1000.0,-2046758940,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
90,1000.0,-2046758140,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
91,1000.0,-2046757009,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
92,1000.0,-2046756140,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
93,1000.0,-2046755236,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
94,1000.0,-2046754234,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
95,1000.0,-2046753436,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
96,1000.0,-2046752531,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
97,1000.0,-2046751468,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
98,1000.0,-2046750593,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
99,1000.0,-2046749454,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
100,1000.0,-2046748705,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
